PICKUP_POSTCODE,No_Jobs,No_trips,total_trips,Latitude,Longitude
000000,474,2681,3155,1.297826,103.808006
000001,100316,1448864,1549180,1.292474,103.856522
000002,2663,7287,9950,1.292474,103.856522
000003,337,1014,1351,1.294563,103.858945
000004,5396,82470,87866,1.292256,103.856295
000005,2472,34459,36931,1.292256,103.856295
000006,103,2882,2985,1.292137,103.856261
000007,8484,1594,10078,1.291927,103.856205
000008,7878,91115,98993,1.307712,103.831766
000009,4190,27248,31438,1.303947,103.831929
000010,152,1346,1498,1.280704,103.851415
000011,224,1856,2080,1.291849,103.844717
000012,23,2064,2087,1.309983,103.864267
000013,33,509,542,1.302108,103.861237
000014,295,3243,3538,1.309809,103.864415
000015,50,330,380,1.309882,103.86437
000016,567,665,1232,1.371711,103.847769
000017,96,19,115,1.309711,103.863973
000018,260,1001,1261,1.33939,103.706496
000019,438,4177,4615,1.265181,103.822883
000021,165,152,317,1.3028,103.834329
000022,124,273,397,1.350543,103.87284
000023,132,948,1080,1.266602,103.809978
000024,2063,202,2265,1.309656,103.863996
000025,300,1942,2242,1.372336,103.893862
000026,59,174,233,1.340105,103.706247
000027,84,515,599,1.350368,103.87301
000028,657,3255,3912,1.350309,103.872993
000029,221,205,426,1.350331,103.873101
000030,113,16,129,1.340293,103.706321
000032,12,10,22,1.310104,103.863962
000033,275,356,631,1.350343,103.872614
000034,205,11028,11233,1.311145,103.881912
000035,158,148,306,1.350255,103.872812
000036,519,1568,2087,1.291526,103.844508
000037,900,279,1179,1.310323,103.863984
000038,41,927,968,1.350347,103.872676
000039,222,8634,8856,1.35038,103.872637
000041,22,239,261,1.310387,103.864041
000042,90,358,448,1.310497,103.864041
000043,45,91,136,1.350176,103.872976
000044,537,39,576,1.350057,103.872942
000045,31,6,37,1.350306,103.87275
000046,7,194,201,1.350065,103.873203
000047,360,219,579,1.350342,103.872671
000048,211,74,285,1.350392,103.872937
000051,160,1147,1307,1.350585,103.871867
000052,70,1483,1553,1.350622,103.871844
000054,56,158,214,1.35036,103.873076
000055,91,707,798,1.350364,103.872993
000058,3,138,141,1.32429,103.941057
000059,58,84,142,1.263738,103.822905
000061,368,606,974,1.350694,103.872025
000062,1,5,6,1.350856,103.872546
000065,0,1,1,1.299509,103.837
000068,4,28,32,1.351027,103.872325
000071,60,81,141,1.264072,103.821909
000075,1,0,1,1.350797,103.871674
000077,4,136,140,1.350832,103.872647
000080,27,374,401,1.350626,103.872738
000081,181,1,182,1.311806,103.879577
000082,3,3,6,1.350529,103.872184
000086,18,116,134,1.350594,103.872014
000087,13,212,225,1.350603,103.871934
000088,6,583,589,1.31139,103.877563
000092,3,0,3,1.299509,103.837
000093,54,20,74,1.263602,103.8226
000097,12,4,16,1.321334,103.885756
000099,14,0,14,1.263677,103.822373
000122,4,220,224,1.294403,103.858152
000123,57,20,77,1.315265,103.853614
000152,7,102,109,1.29118,103.857507
000234,42,23,65,1.265007,103.821366
000263,21,123,144,1.436097,103.838971
000325,17,0,17,1.294013,103.857462
000579,2,56,58,1.3339235,103.8977545
000778,13,12,25,1.373834,103.938047
